,ru-ru,en,,,,,NOTES – use \n for newline,max length
item_chest_treasure_pacifist,Награда пацифиста,A Pacifist's Reward,,,,,,
biomemodifierdesc_high_gravity,Воздух кажется тяжёлым…,The air feels heavy...,,,,,,
biomemodifierdesc_low_gravity,Воздух кажется лёгким…,The air feels light...,,,,,Light as in ”not heavy”,
streamingevent_rain_blackhole,Гравитационный шторм,Gravity Storm,,,,,,
streamingeventdesc_rain_blackhole,Около вас открывается несколько чёрных дыр!!!,Multiple black holes open in your vicinity!!,,,,,,
animal_necromancer_super,Скоуде,Skoude,,,,,Transliterate,
input_xboxbutton_dpad_up,Крестовина вверх,D-Pad up,,,,,XBox 360 controller buttons,
input_xboxbutton_dpad_down,Крестовина вниз,D-Pad down,,,,,XBox 360 controller buttons,
input_xboxbutton_dpad_left,Крестовина влево,D-Pad left,,,,,XBox 360 controller buttons,
input_xboxbutton_dpad_right,Крестовина вправо,D-Pad right,,,,,XBox 360 controller buttons,
input_xboxbutton_back,НАЗАД,BACK,,,,,XBox 360 controller buttons,
input_xboxbutton_left_thumb,Левый мини-джойстик,Left thumb,,,,,XBox 360 controller buttons,
input_xboxbutton_right_thumb,Правый мини-джойстик,Right thumb,,,,,XBox 360 controller buttons,
input_xboxbutton_left_shoulder,Левый бампер,Left shoulder,,,,,XBox 360 controller buttons,
input_xboxbutton_right_shoulder,Правый бампер,Right shoulder,,,,,XBox 360 controller buttons,
input_xboxbutton_left_stick_moved,Левый мини-джойстик,Left stick,,,,,XBox 360 controller buttons,
input_xboxbutton_right_stick_moved,Правый мини-джойстик,Right stick,,,,,XBox 360 controller buttons,
input_xboxbutton_a,A,A,,,,A,(Doesn't need to be translated) XBox 360 controller buttons,
input_xboxbutton_b,B,B,,,,B,(Doesn't need to be translated) XBox 360 controller buttons,
input_xboxbutton_x,X,X,,,,X,(Doesn't need to be translated) XBox 360 controller buttons,
input_xboxbutton_y,Y,Y,,,,Y,(Doesn't need to be translated) XBox 360 controller buttons,
input_xboxbutton_4,Кнопка № 5,Button #5,,,,,XBox 360 controller buttons,
input_xboxbutton_5,Кнопка № 6,Button #6,,,,,XBox 360 controller buttons,
input_xboxbutton_6,Кнопка № 7,Button #7,,,,,XBox 360 controller buttons,
input_xboxbutton_7,Кнопка № 8,Button #8,,,,,XBox 360 controller buttons,
input_xboxbutton_8,Кнопка № 9,Button #9,,,,,XBox 360 controller buttons,
input_xboxbutton_9,Кнопка № 10,Button #10,,,,,XBox 360 controller buttons,
input_xboxbutton_10,Кнопка № 11,Button #11,,,,,XBox 360 controller buttons,
input_xboxbutton_11,Кнопка № 12,Button #12,,,,,XBox 360 controller buttons,
input_xboxbutton_12,Кнопка № 13,Button #13,,,,,XBox 360 controller buttons,
input_xboxbutton_13,Кнопка № 14,Button #14,,,,,XBox 360 controller buttons,
input_xboxbutton_14,Кнопка № 15,Button #15,,,,,XBox 360 controller buttons,
input_xboxbutton_15,Кнопка № 16,Button #16,,,,,XBox 360 controller buttons,
input_xboxbutton_left_stick_left,Левый мини-джойстик влево,Left stick left,,,,,XBox 360 controller buttons,
input_xboxbutton_left_stick_right,Левый мини-джойстик вправо,Left stick right,,,,,XBox 360 controller buttons,
input_xboxbutton_left_stick_up,Левый мини-джойстик вверх,Left stick up,,,,,XBox 360 controller buttons,
input_xboxbutton_left_stick_down,Левый мини-джойстик вниз,Left stick down,,,,,XBox 360 controller buttons,
input_xboxbutton_right_stick_left,Правый мини-джойстик влево,Right stick left,,,,,XBox 360 controller buttons,
input_xboxbutton_right_stick_right,Правый мини-джойстик вправо,Right stick right,,,,,XBox 360 controller buttons,
input_xboxbutton_right_stick_up,Правый мини-джойстик вверх,Right stick up,,,,,XBox 360 controller buttons,
input_xboxbutton_right_stick_down,Правый мини-джойстик вниз,Right stick down,,,,,XBox 360 controller buttons,
input_xboxbutton_analog_00,Левый триггер,Left trigger,,,,,XBox 360 controller buttons,
input_xboxbutton_analog_01,Правый триггер,Right trigger,,,,,XBox 360 controller buttons,
input_xboxbutton_analog_02,Аналоговая кнопка № 3,Analog button #3,,,,,XBox 360 controller buttons,
input_xboxbutton_analog_03,Аналоговая кнопка № 4,Analog button #4,,,,,XBox 360 controller buttons,
input_xboxbutton_analog_04,Аналоговая кнопка № 5,Analog button #5,,,,,XBox 360 controller buttons,
input_xboxbutton_analog_05,Аналоговая кнопка № 6,Analog button #6,,,,,XBox 360 controller buttons,
input_xboxbutton_analog_06,Аналоговая кнопка № 7,Analog button #7,,,,,XBox 360 controller buttons,
input_xboxbutton_analog_07,Аналоговая кнопка № 8,Analog button #8,,,,,XBox 360 controller buttons,
input_xboxbutton_analog_08,Аналоговая кнопка № 9,Analog button #9,,,,,XBox 360 controller buttons,
input_xboxbutton_analog_09,Аналоговая кнопка № 10,Analog button #10,,,,,XBox 360 controller buttons,
input_leftshift,левый Shift,left shift,,,,,keyboard inputs,
input_rightshift,правый Shift,right shift,,,,,keyboard inputs,
controls_aim_stick,прицел,aim,,,,,for options menu - rebinding controller actions,
controls_drop_item,(интерфейс) бросить предмет,(UI) drop item,,,,,for options menu - rebinding controller actions,
controls_drink_potion,(интерфейс) выпить бутыль,(UI) drink potion,,,,,for options menu - rebinding controller actions,
controls_ui_confirm,(интерфейс) подтвердить,(UI) confirm,,,,,for options menu - rebinding controller actions,
controls_ui_drag,(интерфейс) перетащить,(UI) drag,,,,,for options menu - rebinding controller actions,
controls_takescreenshot,сделать скриншот,take screenshot,,,,,label for rebinding keys in options,
controls_ui_quick_drag,(интерфейс) автоперетаскивание,(UI) auto drag,,,,,for options menu - rebinding dragging modifier,
perk_adventurer,Оздоровляющее исследование,Healthy Exploration,,,,,,
perkdesc_adventurer,При каждом посещении новой области восстанавливаются 60 ОЗ.,"Every time you visit a new area, you regain 60 health.",,,,,,
